STELIB,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,bestfitFLAG,COMMENT,fits
862759874936898816,862759874936898816,  5.7255063,  5.9232597,  5.3767791,  0.5464807,NOT_AVAILABLE,      0,true, 41, 39,  0,OK,HD99747_moy.fits
3976887794789911808,3976887794789911808,  5.2427516,  5.7886472,  4.5596652,  1.2289820,NOT_AVAILABLE,      0,false, 17, 18,  0,OK,HD100006_moy.fits
3587107658569000960,3587107658569000960,  4.6584110,  4.6345329,  4.6905808, -0.0560479,NOT_AVAILABLE,      0,false, 25, 24,  0,SAT,HR4468_moy.fits
4025850731201819392,4025850731201819392,  5.1109953,  5.4871893,  4.5811539,  0.9060354,NOT_AVAILABLE,      0,true, 24, 21,  0,OK,HD101501_moy.fits
4024224519144742528,4024224519144742528,  5.5924153,  5.8510642,  5.2062016,  0.6448627,NOT_AVAILABLE,      0,true, 23, 19,  0,BIN,HD101606_moy.fits
5332606522595645952,5332606522595645952, 11.4231043, 11.5157652, 11.2300177,  0.2857475,NOT_AVAILABLE,      0,true, 44, 44,  0,WD,LTT4364_moy.fits
3897724469419137664,3897724469419137664,  3.3209586,  4.3236599,  2.4867687,  1.8368912,NOT_AVAILABLE,      0,false, 19, 19,  0,SAT/VAR,HD102212_moy.fits
786420645182229504,786420645182229504,  3.3287191,  4.0535631,  2.6313531,  1.4222100,NOT_AVAILABLE,      0,true, 52, 51,  0,SAT,HD102224_moy.fits
3794824028033991936,3794824028033991936,  6.0328679,  6.2802653,  5.6223569,  0.6579084,NOT_AVAILABLE,      0,false, 24, 22,  0,OK,HD102634_moy.fits
3796442680948579328,3796442680948579328,  3.4685650,  3.8252461,  3.0062802,  0.8189659,NOT_AVAILABLE,      0,false, 26, 26,  0,SAT,HD102870_moy_sso.fits
3598629681434887040,3598629681434887040,  7.7706304,  8.5011387,  6.9415183,  1.5596204,VARIABLE,      0,false, 48, 48,  0,VAR,HD103036_moy.fits
3473922557216744448,3473922557216744448,  8.8085337,  9.4864864,  8.0077763,  1.4787102,NOT_AVAILABLE,      0,true, 75, 74,  0,ChP,HD104893_moy.fits
1575933490721033728,1575933490721033728,  8.4095621,  8.7863426,  7.8455944,  0.9407482,NOT_AVAILABLE,      0,true, 54, 51,  0,OK,HD105546_moy.fits
3920615854833203328,3920615854833203328, 10.0210476, 10.2822046,  9.5888300,  0.6933746,NOT_AVAILABLE,      0,true, 43, 43,  0,OK,HD106038_moy.fits
4010179460691154816,4010179460691154816,  6.2567005,  6.5110903,  5.8407092,  0.6703811,NOT_AVAILABLE,      0,false, 29, 24,  0,OK,HD107213_moy.fits
3699954179060804864,3699954179060804864,  9.5262346,  9.7676945,  9.1120262,  0.6556683,NOT_AVAILABLE,      0,true, 52, 50,  0,OK,HD108177_moy.fits
1521592327541035520,1521592327541035520,  7.5753045,  7.6029572,  7.4806781,  0.1222792,NOT_AVAILABLE,      0,true, 38, 34,  0,OK,HD109995_moy.fits
1521686782461765888,1521686782461765888,  5.8030252,  6.0948205,  5.3384056,  0.7564149,NOT_AVAILABLE,      0,true, 50, 45,  0,OK,HD110897_moy.fits
3734970154071002624,3734970154071002624,  5.3697066,  5.8759294,  4.7097301,  1.1661992,NOT_AVAILABLE,      0,true, 54, 48,  0,OK,HD111028_moy.fits
3942757338955937408,3942757338955937408,  4.7722378,  5.1269479,  4.0732470,  1.0537009,NOT_AVAILABLE,      0,false, 22, 24,  0,OK,HD112033C_moy.fits
3704342295607157120,3704342295607157120,  2.4037774,  3.9102104,  2.0112715,  1.8989389,NOT_AVAILABLE,      0,true, 36, 37,  0,SAT,HD112300_moy.fits
3940855699236632960,3940855699236632960,  6.0933862,  6.3146687,  5.7134161,  0.6012526,NOT_AVAILABLE,      0,true, 44, 39,  0,OK,HD113022_moy.fits
1576850723937017216,1576850723937017216,  4.8859625,  5.0164657,  4.4981713,  0.5182943,NOT_AVAILABLE,      0,true, 35, 32,  0,DMS,HD113139_moy.fits
1676282377934772608,1676282377934772608,  5.9165349,  6.1196861,  5.5587602,  0.5609260,NOT_AVAILABLE,      0,true, 32, 30,  0,OK,HD113337_moy.fits
3736865265441207424,3736865265441207424,  2.6190510,  3.4062746,  2.2495508,  1.1567237,NOT_AVAILABLE,      0,true, 35, 35,  0,SAT,HD113226_moy.fits
3943394845252502144,3943394845252502144,  5.9755735,  6.1623511,  5.6156497,  0.5467014,NOT_AVAILABLE,      0,true, 29, 25,  0,DMS,HD113848_moy.fits
3629615946329315456,3629615946329315456,  4.4048052,  4.3602591,  4.3430576,  0.0172014,VARIABLE,      0,true, 28, 27,  0,SAT/DMS,HR4963_moy.fits
3732539683617410816,3732539683617410816,  5.0398397,  5.3405180,  4.5810122,  0.7595057,NOT_AVAILABLE,      0,false, 21, 17,  0,OK,HD115383_moy.fits
1565090003967879424,1565090003967879424,  3.9743545,  4.0533781,  3.7898064,  0.2635717,NOT_AVAILABLE,      0,true, 39, 41,  0,SAT,HD116842_moy.fits
3740176925743994752,3740176925743994752,  4.7789707,  5.1444745,  4.2315621,  0.9129124,NOT_AVAILABLE,      0,true, 49, 46,  0,OK,HD117176_moy.fits
1244571953471006720,1244571953471006720,  4.3560209,  4.6089711,  3.9644880,  0.6444831,NOT_AVAILABLE,      0,true, 48, 47,  0,SAT,HD120136_moy.fits
3661266384967451520,3661266384967451520,  4.2246518,  4.2669730,  4.0783024,  0.1886706,NOT_AVAILABLE,      0,true, 24, 24,  0,SAT,HD122408_moy.fits
3723554268436602240,3723554268436602240,  5.8749599,  6.3974733,  5.1786690,  1.2188044,NOT_AVAILABLE,      0,true, 52, 53,  0,ChP,HD122563_moy.fits
1667976701458958848,1667976701458958848,  3.6524229,  3.6570196,  3.6295071,  0.0275126,NOT_AVAILABLE,      0,true, 26, 27,  0,SAT,HD123299_moy.fits
