CALSPEC_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
BD+60_1753,1435896975388228224,  9.6839123,  9.6884346,  9.6581879,  0.0302467,NOT_AVAILABLE,      1,true, 33, 33,bd60d1753_stiswfc_004.fits.csv,OK,  0,   1.01,   0.04,   0.04,   2.46,   2.58,   2.74,   2.44
BD+75_325,1135587497636732672,  9.4850245,  9.3023729,  9.8299131, -0.5275402,NOT_AVAILABLE,      0,true, 51, 50,bd_75d325_stis_006.fits.csv,OK,  1,   1.00,   0.02,   0.02,   2.31,   2.43,   2.71,   2.23
C26202,5057499161282786432, 16.3656025, 16.6585732, 15.9132900,  0.7452831,NOT_AVAILABLE,      0,true,115,111,c26202_stiswfcnic_005.fits.csv,OK,  1,   1.00,   0.03,   0.03,   1.08,   1.09,   1.22,   0.97
DELTA_UMI,1724851173788449536,  4.3210907,  4.3420925,  4.2858257,  0.0562668,NOT_AVAILABLE,      0,true, 23, 22,delumi_stis_004.fits.csv,SAT,  0,   1.03,   0.04,   0.05,   2.48,   2.77,   3.34,   2.27
ETA1_DOR,5284258831636637440,  5.6942382,  5.6795406,  5.7047467, -0.0252061,NOT_AVAILABLE,      2,true, 39, 36,eta1dor_stis_004.fits.csv,BIN,  0,   1.02,   0.04,   0.05,   2.49,   2.62,   2.79,   2.48
FEIGE110,2633603478379307904, 11.7725210, 11.6137171, 12.1028080, -0.4890909,NOT_AVAILABLE,      0,true, 27, 27,feige110_stisnic_008.fits.csv,OK,  1,   1.00,   0.02,   0.02,   1.40,   1.38,   1.55,   1.26
FEIGE34,781164326766404736, 11.1069555, 10.9302731, 11.4196196, -0.4893465,NOT_AVAILABLE,      0,true, 53, 52,feige34_stis_006.fits.csv,OK,  1,   1.01,   0.01,   0.02,   1.86,   1.86,   2.08,   1.68
G191B2B,266077145295627520, 11.7184420, 11.5464220, 12.0706959, -0.5242739,NOT_AVAILABLE,      0,true, 39, 39,g191b2b_stiswfcnic_004.fits.csv,OK,  1,   1.00,   0.01,   0.01,   1.37,   1.37,   1.57,   1.21
GD153,3944400490365194368, 13.3109264, 13.1507225, 13.6322451, -0.4815226,NOT_AVAILABLE,      0,true, 51, 50,gd153_stiswfcnic_004.fits.csv,OK,  1,   1.01,   0.02,   0.02,   1.53,   1.54,   1.90,   1.24
GD71,3348071631670500736, 12.9997692, 12.8530951, 13.3054075, -0.4523125,NOT_AVAILABLE,      0,true, 26, 26,gd71_stiswfcnic_004.fits.csv,OK,  1,   1.00,   0.02,   0.02,   1.32,   1.34,   1.70,   1.01
GJ754.1A,4201781696994073472, 12.2534933, 12.2560062, 12.2192173,  0.0367889,NOT_AVAILABLE,      0,true, 22, 21,gj7541a_stis_004.fits.csv,OK,  0,   1.01,   0.01,   0.01,   1.19,   1.15,   1.28,   1.05
GRW+70_5824,1686708050268594944, 12.7722387, 12.6871138, 12.9656792, -0.2785654,VARIABLE,      0,true, 42, 41,grw_70d5824_stiswfcnic_003.fits.csv,OK,  0,   1.01,   0.03,   0.03,   1.53,   1.53,   1.93,   1.17
HD009051,5040300909638155520,  8.6883421,  9.1326113,  8.0615387,  1.0710726,NOT_AVAILABLE,      0,true, 46, 44,hd009051_stis_007.fits.csv,OK,  1,   1.00,   0.01,   0.01,   2.01,   2.00,   2.55,   1.50
HD031128,4881345510044485120,  8.9904594,  9.2535887,  8.5491400,  0.7044487,NOT_AVAILABLE,      0,true, 57, 56,hd031128_stis_006.fits.csv,OK,  1,   1.00,   0.02,   0.02,   2.09,   2.16,   2.79,   1.58
HD074000,5709390701922940416,  9.5340862,  9.7660685,  9.1305809,  0.6354876,NOT_AVAILABLE,      0,true, 63, 65,hd074000_stis_006.fits.csv,ChP,  0,   1.00,   0.01,   0.01,   2.48,   2.53,   3.06,   2.09
HD101452,5384905720847544192,  7.4970961,  7.6280270,  7.2342348,  0.3937922,NOT_AVAILABLE,      0,true, 81, 76,hd101452_stis_003.fits.csv,OK,  1,   1.01,   0.03,   0.03,   2.04,   2.10,   2.50,   1.78
HD106252,3905603054348141440,  7.2773986,  7.5768566,  6.8035126,  0.7733440,NOT_AVAILABLE,      0,true, 45, 41,hd106252_stis_007.fits.csv,OK,  0,   1.02,   0.03,   0.03,   2.33,   2.17,   2.20,   2.16
HD111980,3510294882898890880,  8.2253914,  8.5022945,  7.7487121,  0.7535825,NOT_AVAILABLE,      0,true, 30, 28,hd111980_stis_006.fits.csv,BIN,  0,   1.01,   0.02,   0.02,   1.52,   1.70,   2.39,   0.95
HD115169,6182594053814895872,  9.0967560,  9.4161253,  8.6046667,  0.8114586,NOT_AVAILABLE,      0,true, 33, 32,hd115169_stis_003.fits.csv,OK,  1,   0.99,   0.02,   0.02,   1.95,   1.88,   2.01,   1.79
HD116405,1550544530286455680,  8.3224049,  8.2827530,  8.3632069, -0.0804539,NOT_AVAILABLE,      0,true, 83, 80,hd116405_stis_006.fits.csv,OK,  1,   1.01,   0.03,   0.04,   2.77,   3.07,   3.62,   2.63
HD128998,1606779808402312320,  5.8210897,  5.8130589,  5.8017464,  0.0113125,NOT_AVAILABLE,      0,true, 40, 37,hd128998_stis_003.fits.csv,OK,  0,   1.01,   0.04,   0.04,   2.16,   2.38,   2.77,   2.04
HD14943,4746011090546864640,  5.8794646,  5.9611754,  5.7075291,  0.2536464,NOT_AVAILABLE,      0,true, 47, 47,hd14943_stis_005.fits.csv,OK,  0,   1.02,   0.03,   0.03,   2.17,   2.39,   2.99,   1.85
HD158485,1434752727380965760,  6.4762955,  6.5349555,  6.3445063,  0.1904492,NOT_AVAILABLE,      0,true, 32, 29,hd158485_stis_005.fits.csv,OK,  0,   1.01,   0.05,   0.06,   2.08,   2.37,   3.22,   1.53
