SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj,flaggap
HD_192944,1832206046035389696,  5.0590305,  5.5330896,  4.4341931,  1.0988965,NOT_AVAILABLE,      0,True, 48, 44,192944.fits.csv,OK,  1,     0.97,     0.05,     0.03,     7.52,     7.43,     0.69,     0.72 , 0
HD_193322,2062360626011542272,  5.8966255,  5.9375257,  5.7912669,  0.1462588,NOT_AVAILABLE,      0,True, 31, 29,193322.fits.csv,DMS,  0,  3443.54,     0.36,  3297.75,    82.56,    97.70,   121.10,    78.74 , 1
HD_193432,6879844473490229888,  4.7522101,  4.7214303,  4.7559500, -0.0345197,NOT_AVAILABLE,      0,True, 43, 39,193432.fits.csv,OK,  0,   923.11,     0.13,     0.12,    60.97,    60.91,     1.97,    81.68 , 1
HD_193536,2083269012150709120,  6.4269276,  6.3537593,  6.5235648, -0.1698055,VARIABLE,      0,True, 46, 44,193536.fits.csv,BIN,  0,   949.96,     0.12,     0.14,    34.33,    34.14,     3.49,    46.12 , 1
HD_193621,2060583579014390528,  6.5819497,  6.5814853,  6.5449328,  0.0365524,NOT_AVAILABLE,      0,True, 39, 40,193621.fits.csv,OK,  0,  1024.16,     0.14,     0.14,    47.94,    47.93,     3.46,    64.24 , 1
HD_194013,4246237185473865216,  5.0422230,  5.5360599,  4.4011140,  1.1349459,NOT_AVAILABLE,      0,True, 43, 39,194013.fits.csv,OK,  1,     1.03,     0.03,     0.03,     8.94,     8.94,     0.75,     0.65 , 0
HD_19476,433103132037681536,  3.5357921,  4.0842237,  2.8988132,  1.1854105,NOT_AVAILABLE,      0,True, 25, 25,19476.fits.csv,SAT,  0,     0.99,     0.08,     0.06,     4.09,     3.92,     1.48,     0.86 , 0
HD_194960,6860943834249292800,  6.2471805,  6.7909718,  5.5459704,  1.2450013,NOT_AVAILABLE,      0,True, 39, 39,194960.fits.csv,OK,  0,     1.17,     0.11,     0.06,     7.37,     6.44,     1.49,     0.97 , 0
HD_19510,15489408711727488,  9.5113716,  9.7792273,  9.0039806,  0.7752466,VARIABLE,      0,True, 24, 23,19510.fits.csv,VAR,  0,    99.99,   -20.00,   -20.00,   -20.00,   -20.00,   -20.00,   -20.00 , 9
HD_195135,4225598836822831360,  4.5804372,  5.1530886,  3.8731050,  1.2799835,NOT_AVAILABLE,      0,True, 45, 43,195135.fits.csv,OK,  1,     0.97,     0.05,     0.05,     7.28,     7.26,     0.85,     0.73 , 0
HD_195324,2056972679739120000,  5.7391009,  6.0004530,  5.2858920,  0.7145610,NOT_AVAILABLE,      0,True, 43, 41,195324.fits.csv,PAGB,  0,     1.93,     0.30,     0.41,    40.30,    17.96,    24.26,     6.63 , 0
