MILES_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioT,chiT,rchi2
3264098320880651008,3264098320880651008,  8.4418259,  8.9020748,  7.7973199,  1.1047549,NOT_AVAILABLE,      0,True, 22, 19,s0118.csv,ChP,  0,   1.01,   0.03,   2.13
491805851686912000,491805851686912000,  9.7112513, 10.0742779,  9.1634550,  0.9108229,NOT_AVAILABLE,      0,True, 75, 73,s0119.csv,OK,  1,   1.00,   0.02,   2.73
544858318517488128,544858318517488128,  7.2155890,  7.7414455,  6.5262985,  1.2151470,NOT_AVAILABLE,      3,True, 50, 48,s0122.csv,BIN,  0,   0.99,   0.03,   1.33
3250489115709122560,3250489115709122560,  6.5357571,  6.8216486,  6.0749631,  0.7466855,NOT_AVAILABLE,      0,True, 30, 29,s0123.csv,ChP,  0,   1.01,   0.03,   1.31
3271622759986641920,3271622759986641920,  8.7464895,  9.1860571,  8.1396770,  1.0463800,NOT_AVAILABLE,      3,True, 45, 46,s0125.csv,BIN,  0,   0.99,   0.04,   1.10
68306099020642432,68306099020642432,  8.0416193,  8.1309376,  7.8585992,  0.2723384,NOT_AVAILABLE,      0,True, 30, 27,s0126.csv,VAR,  0,   1.00,   0.05,   2.56
231113736385994624,231113736385994624,  7.9109201,  8.3096800,  7.3325033,  0.9771767,NOT_AVAILABLE,      0,True, 44, 42,s0127.csv,EB,  0,   1.02,   0.04,   2.85
231113740685855616,231113740685855616,  8.4517431,  8.9323111,  7.7995210,  1.1327901,NOT_AVAILABLE,      0,True, 30, 30,s0128.csv,EB,  0,   1.00,   0.03,   1.96
66715273197982848,66715273197982848,  8.2439022,  8.3621292,  8.0082083,  0.3539209,NOT_AVAILABLE,      0,True, 29, 27,s0129.csv,VAR,  0,   1.01,   0.04,   1.75
64929391436043264,64929391436043264,  8.0943260,  8.1842346,  7.9111433,  0.2730913,NOT_AVAILABLE,      0,True, 41, 38,s0131.csv,OK,  1,   1.00,   0.04,   1.91
5084391257193086336,5084391257193086336,  6.4524870,  6.8834033,  5.8414974,  1.0419059,NOT_AVAILABLE,      0,True, 55, 51,s0132.csv,OK,  1,   1.00,   0.03,   1.58
251931996926401152,251931996926401152,  7.6963921,  8.0482664,  7.1624770,  0.8857894,NOT_AVAILABLE,      0,True, 41, 44,s0133.csv,OK,  1,   1.00,   0.03,   1.38
251738448519542144,251738448519542144,  6.6869044,  6.9473524,  6.2553706,  0.6919818,NOT_AVAILABLE,      0,True, 39, 40,s0134.csv,OK,  0,   1.02,   0.03,   2.24
551050046451136256,551050046451136256,  7.8113842,  8.4286947,  7.0589223,  1.3697724,NOT_AVAILABLE,      0,True, 60, 58,s0135.csv,OK,  1,   1.00,   0.06,   2.26
219057458247921536,219057458247921536,  8.2321091,  8.6972532,  7.5901484,  1.1071048,NOT_AVAILABLE,      0,True, 51, 47,s0136.csv,OK,  1,   1.00,   0.03,   2.38
53848448829915776,53848448829915776,  7.9867549,  8.3725395,  7.4132233,  0.9593163,NOT_AVAILABLE,      0,True, 56, 56,s0137.csv,OK,  0,   1.03,   0.05,   7.13
3245657582441858688,3245657582441858688,  9.3064461,  9.7209864,  8.6957474,  1.0252390,NOT_AVAILABLE,      0,True, 33, 34,s0138.csv,OK,  1,   1.00,   0.03,   1.51
5097726306014470016,5097726306014470016,  7.0985155,  7.7109160,  6.3433785,  1.3675375,NOT_AVAILABLE,      0,True, 39, 33,s0139.csv,ChP,  0,   1.03,   0.04,   3.64
