UVES_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
HD114642,3511640513332581504,  4.8962994,  5.1451550,  4.4964962,  0.6486588,NOT_AVAILABLE,      0,true, 24, 22,HD114642.fits.csv,OK,  1,   1.00,   0.03,   0.03,   2.46,   2.46,   3.29,   1.63
HD114837,6062166950467100032,  4.7883224,  5.0288625,  4.3750315,  0.6538310,NOT_AVAILABLE,      0,true, 67, 60,HD114837.fits.csv,OK,  1,   0.99,   0.05,   0.04,   9.07,   6.02,   7.30,   4.91
HD115363,5859173945562774272,  7.5490994,  7.9237461,  6.9669838,  0.9567623,VARIABLE,      0,true, 56, 55,HD115363.fits.csv,BS,  0,   1.00,   0.03,   0.03,   3.28,   3.58,   5.15,   1.67
HD115617,3507879565090229888,  4.5325284,  4.9046731,  4.0062351,  0.8984380,NOT_AVAILABLE,      0,true, 35, 32,HD115617.fits.csv,OK,  0,   1.02,   0.03,   0.03,   4.17,   4.16,   5.39,   2.97
HD115778,5869816805762242560,  6.1125746,  6.3128805,  5.7582054,  0.5546751,NOT_AVAILABLE,      0,true, 65, 63,HD115778.fits.csv,OK,  0,   1.01, -20.00, -20.00,   1.67,   1.67,   1.67,   1.67
HD115842,6063901120782965248,  5.9278755,  6.0807495,  5.6089549,  0.4717946,NOT_AVAILABLE,      0,true, 61, 53,HD115842.fits.csv,ELS,  0,   1.02,   0.03,   0.03,   3.51,   3.85,   5.34,   2.19
HD117440,6161403234933741312,  3.5339127,  4.1693273,  2.8551266,  1.3142006,NOT_AVAILABLE,      0,true, 26, 29,HD117440.fits.csv,SAT,  0,   1.01, -20.00, -20.00,   1.26,   1.26,   1.26,   1.26
HD118022,3712858597278688000,  4.8898096,  4.9094434,  4.8514953,  0.0579481,NOT_AVAILABLE,      0,true, 33, 32,HD118022.fits.csv,VAR,  0,   1.00,   0.05,   0.05,   5.66,   5.44,   4.82,   5.88
HD118767,6070423698625106560,  3.8364408,  6.0158401,  2.6985092,  3.3173308,VARIABLE,      0,true, 24, 24,HD118767.fits.csv,SAT,  0,   0.82,   0.25,   0.17,   7.94,   4.79,   3.97,   5.33
HD121416,6095384532415991296,  5.5070748,  6.0652013,  4.7981768,  1.2670245,NOT_AVAILABLE,      0,true, 41, 39,HD121416.fits.csv,OK,  0,   1.01,   0.04,   0.04,   7.14,   6.93,   9.57,   4.95
HD123515,6089748096519831296,  5.9576411,  5.9216266,  5.9828930, -0.0612664,VARIABLE,      0,true, 40, 38,HD123515.fits.csv,BIN,  0,   1.00,   0.04,   0.04,   3.77,   3.78,   3.82,   3.76
HD125809,6092862428844018176,  6.0403075,  6.6605215,  5.2833138,  1.3772078,NOT_AVAILABLE,      0,true, 24, 21,HD125809.fits.csv,OK,  1,   1.00,   0.04,   0.04,   4.59,   5.36,   7.47,   3.09
HD128167,1284257623084916480,  4.3419638,  4.5513854,  4.0113702,  0.5400152,NOT_AVAILABLE,      0,true, 64, 57,HD128167.fits.csv,OK,  0,   1.10,   0.06,   0.04,  15.42,   7.58,  10.69,   3.84
HD131217,5877902682962174208,  6.2459784,  7.7712975,  5.0404334,  2.7308640,NOT_AVAILABLE,      0,true, 66, 60,HD131217.fits.csv,S,  0,   1.01,   0.05,   0.06,  11.69,  11.87,  17.37,   4.58
HD133518,5900360581589586432,  6.3580828,  6.2922559,  6.4331307, -0.1408749,NOT_AVAILABLE,      0,true, 50, 44,HD133518.fits.csv,OK,  0,   1.75,   0.27,   1.18,  26.93,  54.75,  58.26,   4.46
HD134453,5799008222524417408,  4.2537460,  5.9227800,  3.0792165,  2.8435636,VARIABLE,      0,true, 46, 46,HD134453.fits.csv,C,  0,   0.91,   0.20,   0.14,   5.64,   4.68,   5.99,   3.89
HD136239,5876804064701201792,  7.4208641,  8.0077839,  6.6535449,  1.3542390,VARIABLE,      0,true, 56, 53,HD136239.fits.csv,BS,  0,   0.99,   0.03,   0.03,   4.03,   3.23,   4.43,   1.91
HD136351,5902781985395901056,  4.8567681,  5.1210260,  4.4529099,  0.6681161,NOT_AVAILABLE,      0,true, 39, 38,HD136351.fits.csv,OK,  1,   1.01,   0.03,   0.03,   4.79,   4.60,   5.11,   4.21
HD136537,5883156699265571968,  6.4313922,  7.0316868,  5.6907744,  1.3409123,NOT_AVAILABLE,      0,true, 33, 27,HD136537.fits.csv,OK,  0,   0.99,   0.03,   0.04,   4.50,   5.33,   7.57,   2.73
HD137509,5795787581164356480,  6.8426118,  6.7879305,  6.9223719, -0.1344414,VARIABLE,      0,true, 55, 51,HD137509.fits.csv,VAR,  0,   0.97,   0.04,   0.04,   3.33,   3.28,   2.98,   3.50
HD137753,5888915425810310144,  6.6742392,  6.6581516,  6.6531515,  0.0050001,NOT_AVAILABLE,      0,true, 38, 34,HD137753.fits.csv,OK,  0,   0.98,   0.03,   0.04,   3.57,   3.26,   3.43,   3.15
HD140901,6009538585839374336,  5.8338356,  6.1896429,  5.3106127,  0.8790302,NOT_AVAILABLE,      0,true, 38, 38,HD140901.fits.csv,OK,  0,   1.17,   0.08,   0.08,  16.43,  11.81,  15.99,   7.51
HD142758,5835544375510084352,  6.9899158,  7.0834484,  6.7522464,  0.3312020,VARIABLE,      0,true, 53, 52,HD142758.fits.csv,BS,  0,   1.02,   0.05,   0.05,   5.07,   4.61,   6.61,   2.19
HD143448,5832957602573458304,  7.2369814,  7.1965432,  7.2437758, -0.0472326,VARIABLE,      0,true, 38, 35,HD143448.fits.csv,Be,  0,   1.02,   0.09,   0.07,   5.44,   4.36,   5.94,   2.67
HD143928,5998513610949980544,  5.8069634,  6.0093627,  5.4543509,  0.5550117,NOT_AVAILABLE,      0,true, 42, 40,HD143928.fits.csv,OK,  0,   0.99,   0.03,   0.04,   4.46,   4.37,   4.51,   4.28
HD145482,6042226413691523712,  4.5251393,  4.4531813,  4.6639366, -0.2107553,NOT_AVAILABLE,      0,true, 37, 31,HD145482.fits.csv,BIN,  0,   1.08,   0.05,   0.04,   8.77,   4.79,   5.05,   4.61
HD145689,5821125860988362752,  5.9334507,  5.9911160,  5.8051219,  0.1859941,NOT_AVAILABLE,      0,true, 67, 62,HD145689.fits.csv,OK,  1,   0.99,   0.04,   0.04,   7.35,   6.96,   6.56,   7.27
HD145792,6049891517263095168,  6.4011512,  6.3983288,  6.3033586,  0.0949702,VARIABLE,      0,true, 40, 39,HD145792.fits.csv,VAR,  0,   0.95,   0.06,   0.06,   3.81,   4.00,   4.73,   2.57
HD145842,5989870075180588160,  5.1029558,  5.0524087,  5.1923647, -0.1399560,NOT_AVAILABLE,      0,true, 29, 23,HD145842.fits.csv,OK,  0,   0.37,   1.37,   0.13, 182.54,   6.18,   7.92,   4.52
HD146143,5935484313053503360,  4.7358780,  5.1611018,  4.1315513,  1.0295506,NOT_AVAILABLE,      0,true, 61, 57,HD146143.fits.csv,OK,  0,   1.06,   0.05,   0.03,  10.16,   6.77,   6.95,   6.67
HD146836,6037514800199297152,  5.4003477,  5.6383615,  5.0079441,  0.6304173,NOT_AVAILABLE,      0,true, 35, 34,HD146836.fits.csv,OK,  0,   1.02,   0.03,   0.03,   4.98,   4.86,   6.25,   3.98
