SPSS_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,has_xp_continuous,phot_bp_n_obs,phot_rp_n_obs,namecsv,SIMBAD,bestfitFLAG,ratioR,chiT,chiTadj,rchi2,rchi2adj,rchi2Badj,rchi2Radj
191,1272306378368710528, 13.3065834, 13.7000914, 12.7263470,  0.9737444,NOT_AVAILABLE,      0,True, 99, 93,V.3.4.SPSS191.csv,OK,  1,   1.01,   0.02,   0.02,   2.31,   2.23,   2.78,   1.76
193,1384866854036828032, 13.8495045, 13.8488016, 13.8805304, -0.0317287,NOT_AVAILABLE,      0,True, 47, 45,V.3.4.SPSS193.csv,OK,  1,   1.00,   0.03,   0.03,   1.50,   1.43,   1.97,   0.87
194,1331106782752978688, 13.7830753, 13.8481426, 13.6607246,  0.1874180,NOT_AVAILABLE,      0,True, 50, 47,V.3.4.SPSS194.csv,OK,  1,   1.00,   0.01,   0.01,   1.17,   1.19,   1.30,   1.11
196,5923906524348891904, 13.5259371, 13.4845142, 13.6336927, -0.1491785,NOT_AVAILABLE,      0,True, 49, 45,V.3.4.SPSS196.csv,OK,  0,   1.02,   0.05,   0.06,   2.39,   3.08,   4.46,   1.46
199,2045444369069839744, 13.5816231, 13.4904957, 13.7835646, -0.2930689,VARIABLE,      0,True, 45, 46,V.3.4.SPSS199.csv,OK,  0,   1.00,   0.03,   0.03,   1.82,   1.83,   2.50,   1.12
201,6443328221136801920, 13.3137865, 13.1517239, 13.6353703, -0.4836464,NOT_AVAILABLE,      0,True, 36, 35,V.3.4.SPSS201.csv,OK,  0,   1.02,   0.02,   0.02,   1.53,   1.58,   1.93,   1.29
202,6468623688724871808, 13.7391176, 13.6104612, 14.0015507, -0.3910894,VARIABLE,      0,True, 46, 45,V.3.4.SPSS202.csv,OK,  0,   1.01,   0.07,   0.09,   3.30,   4.04,   5.89,   1.87
203,2064272612307218176, 13.3736963, 13.2593813, 13.6091757, -0.3497944,NOT_AVAILABLE,      0,True, 48, 48,V.3.4.SPSS203.csv,OK,  1,   1.00,   0.03,   0.03,   1.62,   1.61,   2.08,   1.19
204,6424566979354709248, 13.3394747, 13.2878809, 13.4688854, -0.1810045,NOT_AVAILABLE,      0,True, 60, 58,V.3.4.SPSS204.csv,OK,  1,   1.01,   0.03,   0.03,   1.83,   1.83,   2.01,   1.70
205,2166111956258599680, 13.0201378, 12.8692808, 13.3270245, -0.4577436,NOT_AVAILABLE,      0,True, 48, 44,V.3.4.SPSS205.csv,OK,  0,   0.99,   0.02,   0.02,   1.89,   1.73,   1.71,   1.75
208,1848336633214247808, 13.8190365, 13.6539078, 14.1501923, -0.4962845,VARIABLE,      0,True, 52, 50,V.3.4.SPSS208.csv,OK,  0,   1.01,   0.02,   0.02,   1.50,   1.71,   2.41,   0.95
209,2300234782654298624, 13.0465126, 12.9795227, 13.1974068, -0.2178841,VARIABLE,      0,True, 37, 36,V.3.4.SPSS209.csv,OK,  0,   0.99,   0.04,   0.04,   2.24,   2.21,   2.42,   2.06
211,1792830060723673472, 13.1746721, 13.2524643, 13.0188046,  0.2336597,NOT_AVAILABLE,      0,True, 30, 30,V.3.4.SPSS211.csv,OK,  1,   1.00,   0.01,   0.01,   1.31,   1.30,   1.46,   1.17
214,1923682286712356992, 13.8881636, 13.8354263, 14.0212326, -0.1858063,NOT_AVAILABLE,      0,True, 84, 82,V.3.4.SPSS214.csv,OK,  1,   0.99,   0.03,   0.04,   2.17,   2.27,   3.24,   1.20
217,418491412783587200, 13.9980354, 14.0096483, 13.9463253,  0.0633230,NOT_AVAILABLE,      0,True, 72, 74,V.3.4.SPSS217.csv,OK,  1,   1.00,   0.02,   0.02,   1.60,   1.55,   1.32,   1.70
218,4922382445088509312, 14.2317352, 14.1542988, 14.3975439, -0.2432451,NOT_AVAILABLE,      0,True, 58, 57,V.3.4.SPSS218.csv,OK,  1,   1.00,   0.04,   0.04,   1.94,   1.89,   2.30,   1.55
219,5014009353235167744, 14.6963234, 14.5599337, 14.9750214, -0.4150877,NOT_AVAILABLE,      0,True, 63, 59,V.3.4.SPSS219.csv,OK,  0,   1.02,   0.05,   0.09,   2.37,   4.01,   5.71,   2.11
220,5037084872486444928, 14.9600754, 15.1200247, 14.6621456,  0.4578791,NOT_AVAILABLE,      0,True, 47, 50,V.3.4.SPSS220.csv,OK,  0,   1.02,   0.02,   0.02,   1.52,   1.54,   1.07,   1.81
221,532196686212705536, 14.2348852, 14.6750612, 13.6164722,  1.0585890,NOT_AVAILABLE,      0,True, 54, 54,V.3.4.SPSS221.csv,OK,  1,   1.00,   0.02,   0.02,   1.83,   2.03,   2.56,   1.56
223,519815360648870144, 14.4105253, 14.2718992, 14.7027197, -0.4308205,NOT_AVAILABLE,      0,True, 53, 50,V.3.4.SPSS223.csv,OK,  0,   0.98,   0.04,   0.04,   2.05,   2.16,   2.25,   2.11
224,466384799259137920, 14.9914074, 15.0187864, 14.9547787,  0.0640078,NOT_AVAILABLE,      0,True, 59, 59,V.3.4.SPSS224.csv,OK,  0,   0.98,   0.04,   0.04,   1.81,   1.73,   2.26,   1.23
230,3022956969731332096, 14.2366724, 14.7266407, 13.5929832,  1.1336575,NOT_AVAILABLE,      0,True, 57, 57,V.3.4.SPSS230.csv,OK,  1,   1.00,   0.01,   0.01,   1.67,   1.56,   2.00,   1.16
234,850146827299032704, 14.4378977, 14.2676544, 14.7633228, -0.4956684,NOT_AVAILABLE,      0,True, 50, 46,V.3.4.SPSS234.csv,OK,  1,   1.01,   0.03,   0.03,   1.47,   1.51,   1.61,   1.44
236,854393484803051776, 14.5741625, 14.4293289, 14.8590298, -0.4297009,NOT_AVAILABLE,      0,True, 82, 78,V.3.4.SPSS236.csv,OK,  0,   1.01,   0.03,   0.03,   1.54,   1.62,   1.98,   1.31
237,5353122722363361920, 14.1501942, 14.1194029, 14.2358685, -0.1164656,NOT_AVAILABLE,      0,True, 45, 46,V.3.4.SPSS237.csv,OK,  0,   0.97,   0.04,   0.05,   2.19,   2.39,   2.87,   1.99
242,1572889389701360384, 14.0762386, 13.9014063, 14.4146414, -0.5132351,NOT_AVAILABLE,      0,True, 58, 56,V.3.4.SPSS242.csv,OK,  1,   1.01,   0.02,   0.02,   1.30,   1.32,   1.54,   1.15
247,6070021243006871040, 14.4163437, 14.3405533, 14.5889101, -0.2483568,NOT_AVAILABLE,      0,True, 41, 41,V.3.4.SPSS247.csv,OK,  0,   0.99,   0.04,   0.04,   1.91,   1.96,   2.39,   1.59
248,1478363619145920640, 13.9980021, 13.9280682, 14.1633749, -0.2353067,VARIABLE,      0,True, 47, 44,V.3.4.SPSS248.csv,OK,  0,   1.01,   0.04,   0.04,   1.78,   1.78,   2.27,   1.34
250,1276688069644366592, 14.1438913, 14.1062431, 14.2397957, -0.1335526,NOT_AVAILABLE,      0,True, 66, 64,V.3.4.SPSS250.csv,OK,  1,   1.00,   0.04,   0.04,   1.66,   1.68,   2.28,   1.09
252,1371872413302877568, 14.8054638, 14.7064571, 15.0021505, -0.2956934,NOT_AVAILABLE,      0,True, 54, 52,V.3.4.SPSS252.csv,OK,  1,   1.01,   0.04,   0.04,   1.54,   1.55,   1.92,   1.23
254,1326398777041821568, 14.6169033, 14.6732006, 14.5263186,  0.1468821,NOT_AVAILABLE,      0,True, 50, 51,V.3.4.SPSS254.csv,OK,  0,   1.01,   0.04,   0.04,   1.84,   1.85,   2.31,   1.45
259,4524670913035545344, 13.8590517, 14.2985668, 13.2508116,  1.0477552,NOT_AVAILABLE,      0,True, 81, 82,V.3.4.SPSS259.csv,OK,  1,   1.01,   0.02,   0.01,   1.68,   1.64,   2.08,   1.25
262,6446197877766956800, 14.3862295, 14.3087502, 14.5589905, -0.2502403,NOT_AVAILABLE,      0,True, 47, 46,V.3.4.SPSS262.csv,OK,  1,   1.00,   0.03,   0.03,   1.60,   1.61,   2.22,   0.97
264,6448025712768292992, 15.2260437, 15.0657921, 15.5447702, -0.4789782,NOT_AVAILABLE,      0,True, 50, 47,V.3.4.SPSS264.csv,OK,  1,   1.01,   0.04,   0.04,   1.61,   1.67,   2.21,   1.16
266,6471102606408911360, 14.3346176, 14.2654104, 14.4479065, -0.1824961,NOT_AVAILABLE,      1,True, 28, 26,V.3.4.SPSS266.csv,OK,  0,   0.97,   0.03,   0.03,   1.51,   1.58,   1.85,   1.35
269,1841683423932168832, 14.6227751, 14.7433882, 14.3947306,  0.3486576,NOT_AVAILABLE,      1,True, 43, 40,V.3.4.SPSS269.csv,OK,  0,   1.01,   0.03,   0.03,   1.51,   1.51,   1.67,   1.38
